Rank,Company,Total Income (Cr),Net Income (Cr),Profit (Cr),Profit % of Revenue,Cash Balance (Cr),Total Debt (Cr),Total Assets (Cr),Net Worth (Cr),RONW%,ROCE%,Employees,Avg M-Cap (Cr),TSR%
420,Time Technoplast,4986,4993,310,6.2%,153,829,3446,2550,13.1%,16.3%,2380,6535,114%
421,Wheels India,4974,4977,63,1.3%,5,778,1636,840,7.4%,12.2%,2760,1723,4%
422,HMA Agro Industries,4974,4813,101,2%,115,492,1233,717,16.9%,14.8%,302,2905,-39.1%
423,Indian Renewable Energy Development Agency,4965,4965,1252,25.2%,736,49687,58246,8559,17.3%,9.3%,174,49269,212.6%
424,KPIT Technologies,4945,4872,595,12%,771,329,2698,2146,31.5%,34.6%,8980,43327,-18%
425,V-Guard Industries,4939,4857,258,5.2%,57,401,2232,1814,15.1%,17.3%,3006,16473,36.9%
426,Rajasthan Rajya Vidyut Prasaran Nigam,4931,4575,-1421,NAP,189,12316,17667,2583,NAP,0%,NAVL,NAP,NAP
427,J Kumar Infraprojects,4908,4879,331,6.7%,504,593,3398,2644,13.2%,17.7%,7335,5230,58.3%
428,Shankara Building Products,4880,4828,81,1.7%,34,87,884,798,11.3%,17.4%,881,1570,-14.9%
429,Steel Strips Wheels,4862,4357,675,13.9%,43,1048,2544,1355,21.4%,17.4%,2181,3687,-29%
430,JM Financial,4832,4786,410,8.5%,5444,16228,27284,8491,0.7%,11.3%,300,9688,58.9%
431,Godfrey Phillips India,4828,4455,883,18.3%,25,344,4610,4232,19%,22.1%,969,21143,191.9%
432,Tata Advanced Systems,4827,4793,177,3.7%,159,3713,7151,2812,4.6%,6.7%,NAVL,NAP,NAP
433,USV,4825,4553,1377,28.6%,123,0,5484,5298,28.1%,35.2%,NAVL,NAP,NAP
434,Carborundum Universal,4822,4702,461,9.6%,558,172,3507,3126,16%,20.4%,1007,26410,33.2%
435,LMW,4811,4696,374,7.8%,955,0,2926,2704,14.8%,17.2%,2333,16421,18%
436,Sun TV Network,4797,4282,1925,40.1%,401,38,10590,10536,19.5%,26.3%,1394,28224,9.2%
437,Ageas Federal Life Insurance Co.,4792,4785,107,2.2%,107,0,17564,1165,9.4%,0.8%,NAVL,NAP,NAP
438,Nagarjuna Fertilizers & Chemicals,4776,4765,-1284,NAP,30,3261,-21,-3352,NAP,0%,813,677,10.8%
439,Patel Engineering,4753,4544,290,6.1%,339,1910,6320,3149,7.5%,11%,4580,4861,2.4%
440,Zuari Agro Chemicals,4750,4595,100,2.1%,389,1783,4095,1694,4.6%,8.7%,NAVL,838,40%
441,Saraswat Co-operative Bank,4749,3960,503,10.6%,5765,51284,65420,5405,9.6%,0.8%,NAVL,NAP,NAP
442,Senco Gold,4741,4233,181,3.8%,551,1761,3136,1366,15.8%,13.5%,2366,7444,57.6%
443,Gujarat Ambuja Exports,4722,4610,346,7.3%,19,199,2993,2769,13.3%,16.5%,1371,7226,-33.1%
444,Granules India,4698,4506,405,8.6%,386,1315,4579,3226,13.4%,15.2%,4057,11869,44.7%
445,Konkan Railway Corporation,4692,4462,314,6.7%,367,3971,7149,2022,6.3%,6.1%,NAVL,NAP,NAP
446,Lucas - TVS,4686,4571,150,3.2%,67,288,2244,1767,11.2%,14.6%,NAVL,NAP,NAP
447,Jana Small Finance Bank,4684,4013,670,14.3%,2054,27783,32710,3577,10.8%,2.3%,21800,5784,11.3%
448,SKF India,4679,4570,552,11.8%,1222,12,2731,2683,22%,28.8%,1202,25252,-2.8%
449,HFCL,4669,4465,330,7.1%,336,991,5039,3956,9.6%,13.3%,2114,15865,88.4%
450,Atul,4644,4726,323,7%,72,237,5436,5114,6.6%,9.1%,3255,20073,9.8%
451,Minda Corporation,4637,4651,227,4.9%,192,535,2567,1976,12.6%,14.9%,1846,10909,43.9%
452,West Coast Paper Mills,4628,4448,692,15%,43,276,4234,3242,27%,32.5%,1004,4246,-22.4%
453,Craftsman Automation,4620,4452,304,6.6%,83,1755,3509,1658,22.2%,20.5%,2500,11234,-10.8%
454,Kajaria Ceramics,4610,4578,422,9.2%,514,239,2919,2617,17.5%,21.9%,2545,21075,-9.6%
455,Tata International,4604,4647,-213,NAP,828,3349,3545,151,NAP,0%,NAVL,NAP,NAP
456,KNR Constructions,4593,4429,777,16.9%,411,1262,4799,3554,23.8%,25.4%,2488,8456,11.8%
457,Bharti Axa Life Insurance Company,4591,4356,-146,NAP,150,110,15838,496,NAP,0%,NAVL,NAP,NAP
458,Century Textiles & Industries,4580,4514,51,1.1%,402,2502,7125,3979,1.5%,7.8%,7708,22122,107.9%
459,Finolex Industries,4576,4317,474,10.4%,32,394,6105,5634,9%,11.8%,1313,16764,30.6%
460,Shoppers Stop,4559,4317,77,1.7%,17,2785,3086,301,7.4%,9.1%,8385,8160,-6.5%
461,Bajaj Electricals,4547,4641,131,2.9%,275,215,1718,1441,7.8%,12.2%,1958,11257,-22.2%
462,Adani Total Gas,4537,4475,668,14.7%,456,1557,5154,3580,20.5%,21.1%,508,99048,26.1%
463,Vindhya Telelinks,4531,4087,283,6.2%,171,493,4472,3753,8.1%,11.4%,2600,2826,-16.6%
464,Gujarat Fluorochemicals,4514,4281,435,9.6%,198,2096,8098,5936,7.6%,9.6%,1895,38745,42.9%
465,Page Industries,4506,4825,569,12.6%,321,185,1787,1597,38.4%,44.9%,19461,43276,19.8%
466,Kesoram Industries,4495,4419,-384,NAP,184,2230,2477,95,NAP,0%,1009,5825,80.1%
467,Shriram Life Insurance Company,4460,4368,158,3.5%,305,0,11852,881,18.9%,2.2%,NAVL,NAP,NAP
468,Jindal Poly Films,4460,3926,72,1.6%,116,2655,9654,3994,1.7%,2.8%,273,2909,30.9%
469,IRCTC,4443,4270,1111,25%,2278,60,3478,3230,38.9%,48.9%,2726,74605,14.7%
470,Birla Carbon India,4428,4145,446,10.1%,191,0,3399,3371,13.9%,19.2%,NAVL,NAP,NAP
471,Asahi India Glass,4376,4341,328,7.5%,179,1968,4333,2353,14.7%,14.7%,1923,15023,15.6%
472,Arvind Fashions,4361,4259,81,1.9%,168,1148,2488,1003,6.7%,9.5%,171,6548,35.2%
473,Filatex India,4347,4286,111,2.6%,41,233,1478,1204,9.6%,12.4%,1063,2593,23.5%
474,Howe Engineering Projects India,4341,4226,250,5.8%,61,0,500,471,72.5%,49.2%,NAVL,NAP,NAP
475,Niva Bupa Health Insurance Co.,4335,4116,82,1.9%,143,250,2301,2050,3.4%,3.1%,NAVL,13386,-2%
476,Ajanta Pharma,4333,4209,816,18.8%,131,35,3646,3567,23.5%,31.6%,7844,31062,49.6%
477,Tata Play,4327,4305,-354,NAP,71,2135,3383,-855,NAP,0%,NAVL,NAP,NAP
478,Electrotherm,4291,4272,317,7.4%,62,1770,1014,-781,NAP,21.8%,2431,856,549.7%
479,Angel One,4280,4272,1126,26.3%,9844,2541,5580,3039,43.3%,38.7%,3663,24376,-10.7%
